term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2020,34317,AC 0011,01,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN 112'}]",['TF 1100am-1215pm 01/15-04/27 DSBN 112'],Dawn W  Massey,Dawn W  Massey (P),26,27,-1
Spring2020,34615,AC 0011,02,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/15-04/27', 'location': 'DSBN 112'}]",['TF 1230pm-0145pm 01/15-04/27 DSBN 112'],Dawn W  Massey,Dawn W  Massey (P),26,25,1
Spring2020,34072,AC 0012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/15-04/27', 'location': 'DSBN 113'}]",['MR 0930am-1045am 01/15-04/27 DSBN 113'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,31,-2
Spring2020,34143,AC 0012,02,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/15-04/27', 'location': 'DSBN 112'}]",['MR 1230pm-0145pm 01/15-04/27 DSBN 112'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,32,-3
Spring2020,34158,AC 0012,03,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/15-04/27', 'location': 'DSBN 206'}]",['TF 0200pm-0315pm 01/15-04/27 DSBN 206'],Bruce   Bradford,Bruce   Bradford (P),29,22,7
Spring2020,34234,AC 0012,04,3.000,Introduction to Management Accounting,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/15-04/27', 'location': 'DSBN 217'}]",['TR 0500pm-0615pm 01/15-04/27 DSBN 217'],Bruce   Bradford,Bruce   Bradford (P),29,15,14
Spring2020,34318,AC 0012,05,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/15-04/27', 'location': 'DSBN 215'}]",['TF 0800am-0915am 01/15-04/27 DSBN 215'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,33,-4
Spring2020,34319,AC 0012,06,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN 212'}]",['TF 1100am-1215pm 01/15-04/27 DSBN 212'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,31,-2
Spring2020,34434,AC 0012,07,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/15-04/27', 'location': 'DSBN 201'}]",['TF 1230pm-0145pm 01/15-04/27 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,30,-1
Spring2020,34464,AC 0012,08,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/15-04/27', 'location': 'DSBN L11'}]",['MR 0200pm-0315pm 01/15-04/27 DSBN L11'],Joan L.  Lee,Joan L.  Lee (P),29,32,-3
Spring2020,34465,AC 0012,09,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/15-04/27', 'location': 'DSBN L11'}]",['MR 0330pm-0445pm 01/15-04/27 DSBN L11'],Joan L.  Lee,Joan L.  Lee (P),29,32,-3
Spring2020,34466,AC 0012,10,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/15-04/27', 'location': 'DSBN 113'}]",['MR 0800am-0915am 01/15-04/27 DSBN 113'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),29,29,0
Spring2020,34576,AC 0012,11,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN 113'}]",['MR 1100am-1215pm 01/15-04/27 DSBN 113'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),29,31,-2
Spring2020,35075,AC 0012,12,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/15-04/27', 'location': 'DSBN 113'}]",['MR 1230pm-0145pm 01/15-04/27 DSBN 113'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),29,31,-2
Spring2020,35076,AC 0012,13,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/15-04/27', 'location': 'DSBN 113'}]",['MR 0330pm-0445pm 01/15-04/27 DSBN 113'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),29,31,-2
Spring2020,35335,AC 0012,14,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN 204'}]",['TF 1100am-1215pm 01/15-04/27 DSBN 204'],Michael P.  Coyne,Michael P.  Coyne (P),29,29,0
Spring2020,35817,AC 0012,15,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/15-04/27', 'location': 'DSBN 212'}]",['TF 0200pm-0315pm 01/15-04/27 DSBN 212'],Michael P.  Coyne,Michael P.  Coyne (P),29,31,-2
Spring2020,35818,AC 0012,16,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/15-04/27', 'location': 'DSBN 201'}]",['MR 0930am-1045am 01/15-04/27 DSBN 201'],Paul   Caster,Paul   Caster (P),29,32,-3
Spring2020,35819,AC 0012,17,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/15-04/27', 'location': 'DSBN 206'}]",['MR 0200pm-0315pm 01/15-04/27 DSBN 206'],Paul   Caster,Paul   Caster (P),29,31,-2
Spring2020,35820,AC 0012,18,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/15-04/27', 'location': 'DSBN 206'}]",['MR 0330pm-0445pm 01/15-04/27 DSBN 206'],Paul   Caster,Paul   Caster (P),29,32,-3
Spring2020,34117,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'F', 'times': '0800am-1030am', 'dates': '01/15-04/27', 'location': 'DSBN 101'}]",['F 0800am-1030am 01/15-04/27 DSBN 101'],Scott M  Brenner,Scott M  Brenner (P),24,11,13
Spring2020,36056,AC 0203,AU,3.000,Intermediate Accounting I,[],[],Scott M  Brenner,Scott M  Brenner (P),3,1,2
Spring2020,34031,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/15-04/27', 'location': 'DSBN 111'}]",['TF 0930am-1045am 01/15-04/27 DSBN 111'],Milo W.  Peck,Milo W.  Peck (P),25,27,-2
Spring2020,34058,AC 0204,02,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN 111'}]",['TF 1100am-1215pm 01/15-04/27 DSBN 111'],Milo W.  Peck,Milo W.  Peck (P),25,29,-4
Spring2020,34235,AC 0204,03,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/15-04/27', 'location': 'DSBN 110'}]",['TF 0200pm-0315pm 01/15-04/27 DSBN 110'],Milo W.  Peck,Milo W.  Peck (P),25,24,1
Spring2020,35821,AC 0204,04,3.000,Intermediate Accounting II,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/15-04/27', 'location': 'DSBN 111'}]",['M 0630pm-0900pm 01/15-04/27 DSBN 111'],Stephen E.  Yost,Stephen E.  Yost (P),25,26,-1
Spring2020,34320,AC 0265,01,3.000,Accounting Information Systems,"[{'days': 'W', 'times': '0800am-1030am', 'dates': '01/15-04/27', 'location': 'DSBN 101'}]",['W 0800am-1030am 01/15-04/27 DSBN 101'],Scott M  Brenner,Scott M  Brenner (P),24,23,1
Spring2020,34125,AC 0310,01,3.000,Advanced Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/15-04/27', 'location': 'DSBN L11'}]",['TF 0800am-0915am 01/15-04/27 DSBN L11'],Patricia M.  Poli,Patricia M.  Poli (P),20,15,5
Spring2020,34198,AC 0310,02,3.000,Advanced Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/15-04/27', 'location': 'DSBN L03'}]",['TF 1100am-1215pm 01/15-04/27 DSBN L03'],Patricia M.  Poli,Patricia M.  Poli (P),20,23,-3
